DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001014567,C.I. Pigment Blue 1,1325-87-7,,,,,,, ,38,,,1,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020868,Dichloromethane,75-09-2,YMWUJEATGCHHMB-UHFFFAOYSA-N,Dichloromethane,ClCCl,"InChI=1S/CH2Cl2/c2-1-3/h1H2
",CH2Cl2,84.93,83.953356,385,1755,390,3207,1,1/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021206,"1,2-Propylene glycol",57-55-6,DNIAPMSPPWPWGF-UHFFFAOYSA-N,"Propane-1,2-diol",CC(O)CO,"InChI=1/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3
",C3H8O2,76.095,76.052429,430,1682,552,3941,1,20/909,2,909
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021337,Thiabendazole,148-79-8,WJCNZQLZVWNLKY-UHFFFAOYSA-N,"2-(1,3-Thiazol-4-yl)-1H-benzimidazole",N1C2=C(C=CC=C2)N=C1C1=CSC=N1,"InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)
",C10H7N3S,201.25,201.036068,300,1767,273,6,1,84/1002,8,1002
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021381,"1,1,1-Trichloroethane",71-55-6,UOCLXMDMGBRAIB-UHFFFAOYSA-N,"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3
",C2H3Cl3,133.4,131.930033,319,385,112,3053,1,1/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021759,2-Methyl-1-propanol,78-83-1,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,2-Methylpropan-1-ol,CC(C)CO,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3
",C4H10O,74.123,74.073165,323,176,241,1688,1,4/411,1,411
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025941,Polyvinylpyrrolidone,9003-39-8,,,"*-CC(-*)N1CCCC1=O |$star_e;;;star_e;;;;;;$,lp:4:1,9:2,Sg:n:0,3,1,2,9,8,4,5,6,7::ht|",,(C6H9NO)n,, ,177,6206,,313,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0026838,Isopropyl tetradecanoate,110-27-0,AXISYYRBXTVTFY-UHFFFAOYSA-N,Propan-2-yl tetradecanoate,CCCCCCCCCCCCCC(=O)OC(C)C,"InChI=1S/C17H34O2/c1-4-5-6-7-8-9-10-11-12-13-14-15-17(18)19-16(2)3/h16H,4-15H2,1-3H3
",C17H34O2,270.457,270.255880,297,236,120,231,1,2/445,0,445
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027359,"1-Naphthalenesulfonic acid, 2-[(2-hydroxy-1-naphthalenyl)azo]-, barium salt (2:1)",1103-38-4,LFZDEAVRTJKYAF-UHFFFAOYSA-L,Barium bis{2-[(2-hydroxynaphthalen-1-yl)diazenyl]naphthalene-1-sulfonate},[Ba++].OC1=C(N=NC2=C(C3=C(C=CC=C3)C=C2)S([O-])(=O)=O)C2=C(C=CC=C2)C=C1.OC1=C(N=NC2=C(C3=C(C=CC=C3)C=C2)S([O-])(=O)=O)C2=C(C=CC=C2)C=C1,"InChI=1S/2C20H14N2O4S.Ba/c2*23-18-12-10-13-5-1-3-7-15(13)19(18)22-21-17-11-9-14-6-2-4-8-16(14)20(17)27(24,25)26;/h2*1-12,23H,(H,24,25,26);/q;;+2/p-2
",C40H26BaN4O8S2,892.12,892.024453,93,,41,167,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027642,"C.I. Pigment Red 48, calcium salt (1:1)",7023-61-2,KCAQGUXPIKJXTQ-UHFFFAOYSA-L,Calcium 4-[(5-chloro-4-methyl-2-sulfonatophenyl)diazenyl]-3-hydroxynaphthalene-2-carboxylate,[Ca++].CC1=CC(=C(C=C1Cl)N=NC1=C(O)C(=CC2=C1C=CC=C2)C([O-])=O)S([O-])(=O)=O,"InChI=1S/C18H13ClN2O6S.Ca/c1-9-6-15(28(25,26)27)14(8-13(9)19)20-21-16-11-5-3-2-4-10(11)7-12(17(16)22)18(23)24;/h2-8,22H,1H3,(H,23,24)(H,25,26,27);/q;+2/p-2
",C18H11CaClN2O6S,458.88,457.965226,113,,25,37,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027983,Dipropylene glycol monomethyl ether,34590-94-8,,,"C*.C*.COCCOCCO |lp:5:2,8:2,11:2,m:1:6.7,3:9.10|",,C7H16O3,148.202,148.109944,269,18,,1461,1,24/941,3,941
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0028246,"Solvent naphtha, petroleum, light aliph.",64742-89-8,,,,,,, ,162,,,5419,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0029559,Diazolidinyl urea,78491-02-8,SOROIESOUPGGFO-UHFFFAOYSA-N,"N-[1,3-Bis(hydroxymethyl)-2,5-dioxoimidazolidin-4-yl]-N,N'-bis(hydroxymethyl)urea",OCNC(=O)N(CO)C1N(CO)C(=O)N(CO)C1=O,"InChI=1/C8H14N4O7/c13-1-9-7(18)10(2-14)5-6(17)12(4-16)8(19)11(5)3-15/h5,13-16H,1-4H2,(H,9,18)
",C8H14N4O7,278.221,278.086249,193,39,80,46,1,5/432,1,432
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0029632,Iron oxide (Fe2O3),1309-37-1,JEIPFZHSYJVQDO-UHFFFAOYSA-N,mu-Oxido[bis(oxido)]diiron,O=[Fe]O[Fe]=O,"InChI=1S/2Fe.3O
",Fe2O3,159.687,159.854616,202,5321,43,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0029634,Sodium hydroxide,1310-73-2,HEMHJVSKTPXQMS-UHFFFAOYSA-M,Sodium hydroxide,[OH-].[Na+],"InChI=1S/Na.H2O/h;1H2/q+1;/p-1
",HNaO,39.997,39.992509,291,4394,459,5278,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0040410,Sodium alginate,9005-38-3,,,,,,, ,117,5608,,30,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0041723,C.I. Basic Red 14 chloride,12217-48-0,NJIRSTSECXKPCO-UHFFFAOYSA-M,"2-(2-{4-[(2-Cyanoethyl)(methyl)amino]phenyl}ethenyl)-1,3,3-trimethyl-3H-indol-1-ium chloride",[Cl-].CN(CCC#N)C1=CC=C(C=CC2=[N+](C)C3=CC=CC=C3C2(C)C)C=C1,"InChI=1S/C23H26N3.ClH/c1-23(2)20-8-5-6-9-21(20)26(4)22(23)15-12-18-10-13-19(14-11-18)25(3)17-7-16-24;/h5-6,8-15H,7,17H2,1-4H3;1H/q+1;/p-1
",C23H26ClN3,379.93,379.181526,49,,4,3,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044812,3-Methoxybutan-1-ol,2517-43-3,JSGVZVOGOQILFM-UHFFFAOYSA-N,3-Methoxybutan-1-ol,COC(C)CCO,"InChI=1/C5H12O2/c1-5(7-2)3-4-6/h5-6H,3-4H2,1-2H3
",C5H12O2,104.149,104.083730,112,,93,2,1,22/402,5,402
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0047749,Methylcyclohexane,108-87-2,UAEPNZWRGJTJPN-UHFFFAOYSA-N,Methylcyclohexane,CC1CCCCC1,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3
",C7H14,98.189,98.109550,247,25,167,348,1,1/308,0,308
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0049789,Starch,9005-25-8,,,,,,, ,186,14161,,557,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0050394,C.I. Pigment Red 5,6410-41-9,LMULDSDQRQVZMW-UHFFFAOYSA-N,"N-(5-Chloro-2,4-dimethoxyphenyl)-4-{[5-(diethylsulfamoyl)-2-methoxyphenyl]diazenyl}-3-hydroxynaphthalene-2-carboxamide",CCN(CC)S(=O)(=O)C1=CC=C(OC)C(=C1)N=NC1=C(O)C(=CC2=CC=CC=C12)C(=O)NC1=C(OC)C=C(OC)C(Cl)=C1,"InChI=1S/C30H31ClN4O7S/c1-6-35(7-2)43(38,39)19-12-13-25(40-3)24(15-19)33-34-28-20-11-9-8-10-18(20)14-21(29(28)36)30(37)32-23-16-22(31)26(41-4)17-27(23)42-5/h8-17,36H,6-7H2,1-5H3,(H,32,37)
",C30H31ClN4O7S,627.11,626.160198,80,,36,3,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0050479,Bisphenol A/ Epichlorohydrin resin,25068-38-6,,,,,,, ,136,178,,2491,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0051233,Mineral spirits,64475-85-0,,,,,,, ,107,,,3047,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0051235,"Ceramic materials and wares, chemicals",66402-68-4,,,,,,, ,121,,,950,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0067187,"Titanium, oxo[29H,31H-phthalocyaninato(2-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, (SP-5-12)-",26201-32-1,SJHHDDDGXWOYOE-UHFFFAOYSA-N,"(Oxido)titanium(2+) phthalocyanine-29,31-diide",O=[Ti++].[N-]1\C2=N/C3=N/C(=N\C4=C5C=CC=CC5=C([N-]4)\N=C4/N=C(/N=C1/C1=CC=CC=C21)C1=CC=CC=C41)/C1=CC=CC=C31,"InChI=1S/C32H16N8.O.Ti/c1-2-10-18-17(9-1)25-33-26(18)38-28-21-13-5-6-14-22(21)30(35-28)40-32-24-16-8-7-15-23(24)31(36-32)39-29-20-12-4-3-11-19(20)27(34-29)37-25;;/h1-16H;;/q-2;;+2
",C32H16N8OTi,576.402,576.092649,48,,15,44,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00893131,"Chromate(1-​)​, bis[3-​(hydroxy-​kappaO)​-​4-​[2-​[2-​(hydroxy-​kappaO)​-​3,​5-​dinitrophenyl]​diazenyl-​kappaN1]​-​N-​phenyl-​2-​naphthalenecarboxami​dato(2-​)​]​-​, ammonium (1:1)",109125-51-1,RDDMCPMQDAUNRT-KEQLRAPASA-K,"Ammonium bis[3-(hydroxy-kappaO)-4-{[2-(hydroxy-kappaO)-3,5-dinitrophenyl]diazenyl-kappaN~1~}-N-phenylnaphthalene-2-carboxamidato(2-)]chromate(1-)",[NH4+].[Cr+3].[O-]C1=C(C=C(C=C1N=NC1=C2C=CC=CC2=CC(C(=O)NC2=CC=CC=C2)=C1[O-])[N+]([O-])=O)[N+]([O-])=O.[O-]C1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)\N=N\C1=C([O-])C(=CC2=C1C=CC=C2)C(=O)NC1=CC=CC=C1,"InChI=1S/2C23H15N5O7.Cr.H3N/c2*29-21-17(23(31)24-14-7-2-1-3-8-14)10-13-6-4-5-9-16(13)20(21)26-25-18-11-15(27(32)33)12-19(22(18)30)28(34)35;;/h2*1-12,29-30H,(H,24,31);;1H3/q;;+3;/p-3/b26-25+;26-25-;;
",C46H30CrN11O14,1012.805,1012.137876,52,,1,184,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID101015132,Hexaglyceryl tristearate,71185-87-0,SBFLFRSXNYZPEH-YMKFFAQDSA-N,"(2R,6S,10S,14R,18S,22R)-10-(Butanoyloxy)-2,6,14-trihydroxy-22-(hydroxymethyl)-24-oxo-18-(propanoyloxy)-4,8,12,16,20,23-hexaoxaoctacosan-1-yl octadecanoate",[H]OC[C@H](COC[C@H](COC[C@@H](O[H])COC[C@H](COC[C@@H](O[H])COC[C@@H](O[H])COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCC)OC(=O)CC)OC(=O)CCCC,"InChI=1S/C48H90O17/c1-5-9-11-12-13-14-15-16-17-18-19-20-21-22-23-26-46(54)62-33-41(52)32-57-28-39(50)29-59-36-44(65-47(55)24-7-3)37-60-31-40(51)30-58-35-43(64-45(53)8-4)38-61-34-42(27-49)63-48(56)25-10-6-2/h39-44,49-52H,5-38H2,1-4H3/t39-,40+,41+,42+,43-,44-/m0/s1
",C48H90O17,939.231,938.617801,19,,5,1,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID101018655,C.I. Pigment Red 94,12213-62-6,,,,,,, ,3,,,1,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020140,Sodium benzoate,532-32-1,WXMKPNITSTVMEF-UHFFFAOYSA-M,Sodium benzoate,[Na+].[O-]C(=O)C1=CC=CC=C1,"InChI=1S/C7H6O2.Na/c8-7(9)6-4-2-1-3-5-6;/h1-5H,(H,8,9);/q;+1/p-1
",C7H5NaO2,144.105,144.018724,283,324,142,554,2,3/992,0,992
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020980,1-Nitropropane,108-03-2,JSZOAYXJRCEYSX-UHFFFAOYSA-N,1-Nitropropane,CCC[N+]([O-])=O,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3
",C3H7NO2,89.094,89.047678,184,17,116,51,1,16/411,4,411
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021291,Sodium sulfate anhydrous,7757-82-6,PMZURENOXWZQFD-UHFFFAOYSA-L,Disodium sulfate,[Na+].[Na+].[O-]S([O-])(=O)=O,"InChI=1S/2Na.H2O4S/c;;1-5(2,3)4/h;;(H2,1,2,3,4)/q2*+1;/p-2
",Na2O4S,142.04,141.931268,247,929,229,1068,1,3/235,1,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021324,"1,1,1,2-Tetrafluoroethane",811-97-2,LVGUZGTVOIAKKC-UHFFFAOYSA-N,"1,1,1,2-Tetrafluoroethane",FCC(F)(F)F,"InChI=1S/C2H2F4/c3-1-2(4,5)6/h1H2
",C2H2F4,102.032,102.009263,237,84,92,422,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021455,C.I. Acid Yellow 23,1934-21-0,ZLWLTDZLUVBSRJ-UHFFFAOYSA-K,"Trisodium 5-oxo-1-(4-sulfonatophenyl)-4-[(4-sulfonatophenyl)diazenyl]-2,5-dihydro-1H-pyrazole-3-carboxylate",[Na+].[Na+].[Na+].[O-]C(=O)C1=C(N=NC2=CC=C(C=C2)S([O-])(=O)=O)C(=O)N(N1)C1=CC=C(C=C1)S([O-])(=O)=O,"InChI=1S/C16H12N4O9S2.3Na/c21-15-13(18-17-9-1-5-11(6-2-9)30(24,25)26)14(16(22)23)19-20(15)10-3-7-12(8-4-10)31(27,28)29;;;/h1-8,19H,(H,22,23)(H,24,25,26)(H,27,28,29);;;/q;3*+1/p-3
",C16H9N4Na3O9S2,534.36,533.950403,260,338,50,214,1,47/899,5,899
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021740,1-Butanol,71-36-3,LRHPLDYGYMQRHN-UHFFFAOYSA-N,Butan-1-ol,CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3
",C4H10O,74.123,74.073165,396,1109,514,4150,1,5/411,1,411
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023233,Maltose,69-79-4,DKXNBNKWCZZMJT-WUJBLJFYSA-N,,[H][C@]1(O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C12H22O11/c13-1-4(16)7(18)11(5(17)2-14)23-12-10(21)9(20)8(19)6(3-15)22-12/h1,4-12,14-21H,2-3H2/t4-,5+,6+,7+,8+,9-,10+,11+,12+/m0/s1
",C12H22O11,342.297,342.116212,114,4182,,5,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023940,Cadmium,7440-43-9,BDOSMKKIYDKNTQ-UHFFFAOYSA-N,,[Cd],"InChI=1S/Cd
",Cd,112.414,113.903365,275,29395,,1491,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1024097,2-Butoxyethanol,111-76-2,POAOYUHQDCAZBD-UHFFFAOYSA-N,2-Butoxyethan-1-ol,CCCCOCCO,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3
",C6H14O2,118.176,118.099380,410,169,163,6931,1,7/855,1,855
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1024207,Molybdenum,7439-98-7,ZOKXTWBITQBERF-UHFFFAOYSA-N,Molybdenum,[Mo],"InChI=1S/Mo
",Mo,95.95,97.905405,201,6840,879,2552,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1025279,Ethyl cyanoacrylate,7085-85-0,FGBJXOREULPLGL-UHFFFAOYSA-N,Ethyl 2-cyanoprop-2-enoate,CCOC(=O)C(=C)C#N,"InChI=1S/C6H7NO2/c1-3-9-6(8)5(2)4-7/h2-3H2,1H3
",C6H7NO2,125.127,125.047678,208,103,92,348,1,33/404,8,404
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1025279,Ethyl cyanoacrylate,7085-85-0,FGBJXOREULPLGL-UHFFFAOYSA-N,Ethyl 2-cyanoprop-2-enoate,CCOC(=O)C(=C)C#N,"InChI=1S/C6H7NO2/c1-3-9-6(8)5(2)4-7/h2-3H2,1H3
",C6H7NO2,125.127,125.047678,208,103,92,348,1,33/404,8,404
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1025801,1-Octadecanamine,124-30-1,REYJJPSVUYRZGE-UHFFFAOYSA-N,Octadecan-1-amine,CCCCCCCCCCCCCCCCCCN,"InChI=1S/C18H39N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h2-19H2,1H3
",C18H39N,269.517,269.308250,144,250,129,8,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1025809,Oleic acid,112-80-1,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,(9Z)-Octadec-9-enoic acid,CCCCCCCC\C=C/CCCCCCCC(O)=O,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-
",C18H34O2,282.468,282.255880,354,7037,284,260,1,25/448,6,448
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026031,Sodium dodecyl sulfate,151-21-3,DBMJMQXJHONAFJ-UHFFFAOYSA-M,Sodium dodecyl sulfate,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1
",C12H25NaO4S,288.38,288.137125,345,11781,172,944,1,213/1004,21,1004
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026401,Isobutane,75-28-5,NNPPMTNAJDCUHE-UHFFFAOYSA-N,2-Methylpropane,CC(C)C,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3
",C4H10,58.124,58.078250,264,,92,6166,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1027348,Sodium citrate (x:1),994-36-5,,,,,,, ,60,644,,66,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1027710,Asphalt,8052-42-4,,,,,,, ,153,584,,1048,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1027718,Nonylphenoxypolyethoxyethanol,9016-45-9,,,"[H]OCCO*.CCCCCCCCCC1=CC=CC=C1 |c:16,18,t:14,lp:1:2,4:2,m:5:19.20.18,Sg:n:1,2,3::ht|",,(C2H3O)nC15H24O,, ,199,766,,1331,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1029677,Silica,7631-86-9,VYPSYNLAJGMNEJ-UHFFFAOYSA-N,,O=[Si]=O,"InChI=1S/O2Si/c1-3-2
",O2Si,60.083,59.966756,303,28364,781,3327,1,9/853,1,853
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1034925,"Potassium 2,4-hexadienoate",590-00-1,CHHHXKFHOYLYRE-UHFFFAOYSA-M,"Potassium hexa-2,4-dienoate",[K+].CC=CC=CC([O-])=O,"InChI=1S/C6H8O2.K/c1-2-3-4-5-6(7)8;/h2-5H,1H3,(H,7,8);/q;+1/p-1
",C6H7KO2,150.218,150.008311,142,936,26,162,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1036919,Methyl cellulose,9004-67-5,,,,,,, ,132,6814,,23,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1042152,Methyl methacrylate homopolymer,9011-14-7,,,"COC(=O)C(C)(-*)C-* |$;;;;;;star_e;;star_e$,lp:1:2,3:2,Sg:n:8,6,7,0,1,3,2,5,4::ht|",,(C5H8O2)n,, ,138,8045,,1684,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1048205,"2,2'-(2,5-Thiophenediyl)bis[5-(1,1-dimethylethyl)benzoxazole]",7128-64-5,AIXZBGVLNVRQSS-UHFFFAOYSA-N,"2,2'-(Thiophene-2,5-diyl)bis(5-tert-butyl-1,3-benzoxazole)",CC(C)(C)C1=CC2=C(OC(=N2)C2=CC=C(S2)C2=NC3=C(O2)C=CC(=C3)C(C)(C)C)C=C1,"InChI=1S/C26H26N2O2S/c1-25(2,3)15-7-9-19-17(13-15)27-23(29-19)21-11-12-22(31-21)24-28-18-14-16(26(4,5)6)8-10-20(18)30-24/h7-14H,1-6H3
",C26H26N2O2S,430.57,430.171499,111,,117,20,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1049643,Hydroxyethylcellulose,9004-62-0,,,,,,, ,175,281,,312,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1051779,Ethylcyclohexane,1678-91-7,IIEWJVIFRVWJOD-UHFFFAOYSA-N,Ethylcyclohexane,CCC1CCCCC1,"InChI=1S/C8H16/c1-2-8-6-4-3-5-7-8/h8H,2-7H2,1H3
",C8H16,112.216,112.125201,136,4,112,3,1,5/282,2,282
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1052115,C.I.Solvent Violet 9,467-63-0,QFVDKARCPMTZCS-UHFFFAOYSA-N,Tris[4-(dimethylamino)phenyl]methanol,CN(C)C1=CC=C(C=C1)C(O)(C1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,"InChI=1S/C25H31N3O/c1-26(2)22-13-7-19(8-14-22)25(29,20-9-15-23(16-10-20)27(3)4)21-11-17-24(18-12-21)28(5)6/h7-18,29H,1-6H3
",C25H31N3O,389.543,389.246713,53,,55,2,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1052329,C.I. Pigment Red 22,6448-95-9,XYZMEPHFXJHGIX-UHFFFAOYSA-N,3-Hydroxy-4-[(2-methyl-5-nitrophenyl)diazenyl]-N-phenylnaphthalene-2-carboxamide,CC1=CC=C(C=C1N=NC1=C(O)C(=CC2=CC=CC=C12)C(=O)NC1=CC=CC=C1)[N+]([O-])=O,"InChI=1S/C24H18N4O4/c1-15-11-12-18(28(31)32)14-21(15)26-27-22-19-10-6-5-7-16(19)13-20(23(22)29)24(30)25-17-8-3-2-4-9-17/h2-14,29H,1H3,(H,25,30)
",C24H18N4O4,426.432,426.132805,86,7,42,6,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1064403,C.I. Pigment Red 112,6535-46-2,JQNJCQYNSLCFAC-UHFFFAOYSA-N,"3-Hydroxy-N-(2-methylphenyl)-4-[(2,4,5-trichlorophenyl)diazenyl]naphthalene-2-carboxamide",CC1=C(NC(=O)C2=C(O)C(N=NC3=C(Cl)C=C(Cl)C(Cl)=C3)=C3C=CC=CC3=C2)C=CC=C1,"InChI=1S/C24H16Cl3N3O2/c1-13-6-2-5-9-20(13)28-24(32)16-10-14-7-3-4-8-15(14)22(23(16)31)30-29-21-12-18(26)17(25)11-19(21)27/h2-12,31H,1H3,(H,28,32)
",C24H16Cl3N3O2,484.76,483.030810,86,,47,17,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10872417,Cadmium & Cadmium Compounds,NOCAS_872417,,,,,,, ,22,,,23,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10872790,Polyethylene terephthalate,25038-59-9,,,"*-OCCOC(=O)C1=CC=C(C=C1)C(-*)=O |$star_e;;;;;;;;;;;;;;star_e;$,c:9,11,t:7,lp:1:2,4:2,6:2,15:2,Sg:n:1,2,3,4,5,7,12,11,10,9,8,6,13,15::ht|",,(C10H8O4)n,, ,137,5835,9,609,1, ,,
