DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020153,Benzyl chloride,100-44-7,KCXMKQUNVWSEMD-UHFFFAOYSA-N,(Chloromethyl)benzene,ClCC1=CC=CC=C1,"InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2
",C7H7Cl,126.58,126.023628,247,131,160,3,1,3/235,1,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021206,"1,2-Propylene glycol",57-55-6,DNIAPMSPPWPWGF-UHFFFAOYSA-N,"Propane-1,2-diol",CC(O)CO,"InChI=1/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3
",C3H8O2,76.095,76.052429,430,1682,552,3941,1,20/909,2,909
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021759,2-Methyl-1-propanol,78-83-1,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,2-Methylpropan-1-ol,CC(C)CO,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3
",C4H10O,74.123,74.073165,323,176,241,1688,1,4/411,1,411
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021917,n-Hexane,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,Hexane,CCCCCC,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3
",C6H14,86.178,86.109550,385,1005,1275,3022,1,0/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021969,4-Hydroxy-3-methoxybenzaldehyde,121-33-5,MWOOGOJBHIARFG-UHFFFAOYSA-N,4-Hydroxy-3-methoxybenzaldehyde,COC1=C(O)C=CC(C=O)=C1,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3
",C8H8O3,152.149,152.047344,358,829,246,112,1,29/878,3,878
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00227730,"1,2-Diphenylcyclobutane, cis-",7694-30-6,AERGGMDNGDDGPI-IYBDPMFKSA-N,"1,1'-[(1R,2S)-Cyclobutane-1,2-diyl]dibenzene",C1C[C@H]([C@H]1C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C16H16/c1-3-7-13(8-4-1)15-11-12-16(15)14-9-5-2-6-10-14/h1-10,15-16H,11-12H2/t15-,16+
",C16H16,208.304,208.125201,21,,28,,4, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023826,Isophorone diisocyanate,4098-71-9,NIMLQBUJDJZYEJ-UHFFFAOYSA-N,"5-Isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane",CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,"InChI=1/C12H18N2O2/c1-11(2)4-10(14-9-16)5-12(3,6-11)7-13-8-15/h10H,4-7H2,1-3H3
",C12H18N2O2,222.288,222.136828,196,31,82,121,1,32/912,4,912
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027197,Methyl 2-hydroxypropanoate,547-64-8,LPEKGGXMPWTOCB-UHFFFAOYSA-N,Methyl 2-hydroxypropanoate,COC(=O)C(C)O,"InChI=1/C4H8O3/c1-3(5)4(6)7-2/h3,5H,1-2H3
",C4H8O3,104.105,104.047344,125,28,114,1,1,2/235,1,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027436,Phenylphosphinic acid,1779-48-2,CGNKSELPNJJTSM-UHFFFAOYSA-N,Phenylphosphonous acid,OP(O)C1=CC=CC=C1,"InChI=1S/C6H7O2P/c7-9(8)6-4-2-1-3-5-6/h1-5,7-8H
",C6H7O2P,142.094,142.018366,91,6,28,2,2,0/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0039229,Acrylic acid,79-10-7,NIXOWILDQLNWCW-UHFFFAOYSA-N,Prop-2-enoic acid,OC(=O)C=C,"InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)
",C3H4O2,72.063,72.021129,297,3013,313,100,1,0/79,0,79
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044818,2-Butyloctan-1-ol,3913-02-8,XMVBHZBLHNOQON-UHFFFAOYSA-N,2-Butyloctan-1-ol,CCCCCCC(CO)CCCC,"InChI=1/C12H26O/c1-3-5-7-8-10-12(11-13)9-6-4-2/h12-13H,3-11H2,1-2H3
",C12H26O,186.339,186.198365,122,246,60,3,1,55/661,8,661
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044947,4-(1-Oxo-2-propenyl)-morpholine,5117-12-4,XLPJNCYCZORXHG-UHFFFAOYSA-N,1-(Morpholin-4-yl)prop-2-en-1-one,C=CC(=O)N1CCOCC1,"InChI=1S/C7H11NO2/c1-2-7(9)8-3-5-10-6-4-8/h2H,1,3-6H2
",C7H11NO2,141.17,141.078979,90,15,87,,1,1/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0061111,(2-Methyl-1-propenyl)benzene,768-49-0,BTOVVHWKPVSLBI-UHFFFAOYSA-N,(2-Methylprop-1-en-1-yl)benzene,CC(C)=CC1=CC=CC=C1,"InChI=1S/C10H12/c1-9(2)8-10-6-4-3-5-7-10/h3-8H,1-2H3
",C10H12,132.206,132.093900,41,,82,1,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0073459,"1,5-Cyclooctadiene, 1,6-dichloro-",29480-42-0,KBTPRKBSGQDFGW-UHFFFAOYSA-N,"1,6-Dichlorocycloocta-1,5-diene",ClC1=CCCC=C(Cl)CC1,"InChI=1S/C8H10Cl2/c9-7-3-1-2-4-8(10)6-5-7/h3-4H,1-2,5-6H2
",C8H10Cl2,177.07,176.015956,14,,12,,3, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00863258,1-Ethyl-2-methylcyclohexane,3728-54-9,XARGIVYWQPXRTC-UHFFFAOYSA-N,1-Ethyl-2-methylcyclohexane,CCC1CCCCC1C,"InChI=1/C9H18/c1-3-9-7-5-4-6-8(9)2/h8-9H,3-7H2,1-2H3
",C9H18,126.243,126.140851,18,,43,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00947865,Methyl 3-[5-(oxiran-2-yl)pentyl]undecanoate,2500-59-6,WUWVZKSSNMWLCB-UHFFFAOYSA-N,Methyl 3-[5-(oxiran-2-yl)pentyl]undecanoate,CCCCCCCCC(CCCCCC1CO1)CC(=O)OC,"InChI=1/C19H36O3/c1-3-4-5-6-7-9-12-17(15-19(20)21-2)13-10-8-11-14-18-16-22-18/h17-18H,3-16H2,1-2H3
",C19H36O3,312.494,312.266445,16,,8,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10157251,"2-Oxopentanedioic acid, dimethyl ether",13192-04-6,TXIXSLPEABAEHP-UHFFFAOYSA-N,Dimethyl 2-oxopentanedioate,COC(=O)CCC(=O)C(=O)OC,"InChI=1S/C7H10O5/c1-11-6(9)4-3-5(8)7(10)12-2/h3-4H2,1-2H3
",C7H10O5,174.152,174.052823,10,,84,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020778,D-Limonene,5989-27-5,XMGQYMWWDOXHJM-JTQLQIEISA-N,(4R)-1-Methyl-4-(prop-1-en-2-yl)cyclohex-1-ene,CC(=C)[C@@H]1CCC(C)=CC1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3/t10-/m0/s1
",C10H16,136.238,136.125201,365,1005,109,1419,1,3/405,1,405
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021328,Tetrahydrofuran,109-99-9,WYURNTSHIVDZCO-UHFFFAOYSA-N,Oxolane,C1CCOC1,"InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2
",C4H8O,72.107,72.057515,280,936,843,702,1,8/406,2,406
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021740,1-Butanol,71-36-3,LRHPLDYGYMQRHN-UHFFFAOYSA-N,Butan-1-ol,CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3
",C4H10O,74.123,74.073165,396,1109,514,4150,1,5/411,1,411
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1021827,Cumene,98-82-8,RWGFKTVRMDUZSP-UHFFFAOYSA-N,(Propan-2-yl)benzene,CC(C)C1=CC=CC=C1,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3
",C9H12,120.195,120.093900,344,93,255,572,1,14/235,6,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1022001,Ethyl acetate,141-78-6,XEKOWRVHYACXOJ-UHFFFAOYSA-N,Ethyl acetate,CCOC(C)=O,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3
",C4H8O2,88.106,88.052429,389,1327,881,3541,1,14/406,3,406
