DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020868,Dichloromethane,75-09-2,YMWUJEATGCHHMB-UHFFFAOYSA-N,Dichloromethane,ClCCl,"InChI=1S/CH2Cl2/c2-1-3/h1H2
",CH2Cl2,84.93,83.953356,385,1755,390,3207,1,1/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027064,"Hexanoic acid, 2-ethyl-, cobalt(2+) salt",136-52-7,QAEKNCDIHIGLFI-UHFFFAOYSA-L,Cobalt(2+) bis(2-ethylhexanoate),[Co++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O,"InChI=1/2C8H16O2.Co/c2*1-3-5-6-7(4-2)8(9)10;/h2*7H,3-6H2,1-2H3,(H,9,10);/q;;+2/p-2
",C16H30CoO4,345.345,345.147603,124,3,34,466,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0029632,Iron oxide (Fe2O3),1309-37-1,JEIPFZHSYJVQDO-UHFFFAOYSA-N,mu-Oxido[bis(oxido)]diiron,O=[Fe]O[Fe]=O,"InChI=1S/2Fe.3O
",Fe2O3,159.687,159.854616,202,5321,43,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0040125,Chromium trioxide,1333-82-0,WGLPBDUCMAPZCE-UHFFFAOYSA-N,Tris(oxido)chromium,O=[Cr](=O)=O,"InChI=1S/Cr.3O
",CrO3,99.993,99.925250,120,63,85,392,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0051441,Silicon,7440-21-3,XUIMIQQOPSSXEZ-UHFFFAOYSA-N,Silicon,[Si],"InChI=1S/Si
",Si,28.085,27.976927,180,10391,258,4253,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0057592,Nylon,63428-83-1,,,,,,, ,73,4708,,184,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00872805,Polypropylene,9003-07-0,,,,,,, ,157,5099,,1459,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1024382,Phosphorus,7723-14-0,OAICVXFJPJFONN-UHFFFAOYSA-N,Phosphorus,[P],"InChI=1S/P
",P,30.973761998,30.973762,239,37055,149,876,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10872790,Polyethylene terephthalate,25038-59-9,,,"*-OCCOC(=O)C1=CC=C(C=C1)C(-*)=O |$star_e;;;;;;;;;;;;;;star_e;$,c:9,11,t:7,lp:1:2,4:2,6:2,15:2,Sg:n:1,2,3,4,5,7,12,11,10,9,8,6,13,15::ht|",,(C10H8O4)n,, ,137,5835,9,609,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID201014963,Nickel containing steels,12681-83-3,,,,,,, ,17,,,99,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20107787,Natural rubber,9006-04-6,,,,,,, ,90,6897,,325,1, ,,
