DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00100655,"Oils, bergamot, psoralen-free",68648-33-9,,,,,,, ,39,,,5,3, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001009685,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-octadecyl-.omega.-hydroxy-",25231-21-4,,,,,,, ,43,,,3,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001010915,"1-Decene, homopolymer",25189-70-2,,,,,,, ,22,,,3,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001010977,"Amines, soya alkyl, ethoxylated",61791-24-0,,,,,,, ,43,,,37,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001011094,"2,5-Furandione, polymer with 2-methyl-1-propene",26426-80-2,,,,,,, ,27,,,3,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001017359,"Valeriana officinalis L., root extract",8057-49-6,,,,,,, ,27,,,1,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001018652,Green 3,1342-22-9,,,,,,, ,26,,,18,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00101900,"Acid chlorides, coco, reaction products with protein hydrolyzates, potassium salts",68920-65-0,,,,,,, ,33,8,,3,3, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001019098,Dimethiconol,31692-79-2,,,"[H]O[Si](C)(C)O |lp:1:2,5:2,Sg:n:2,1::ht|","InChI=1S/C2H8O2Si/c1-5(2,3)4/h3-4H,1-2H3
",(OSi)nC2H8O,, ,62,,40,153,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001019098,Dimethiconol,31692-79-2,,,"[H]O[Si](C)(C)O |lp:1:2,5:2,Sg:n:2,1::ht|","InChI=1S/C2H8O2Si/c1-5(2,3)4/h3-4H,1-2H3
",(OSi)nC2H8O,, ,62,,40,153,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001019179,Picea abies extract,91770-69-3,,,,,,, ,10,,,1,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001019179,Picea abies extract,91770-69-3,,,,,,, ,10,,,1,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00106652,"Siloxanes and Silicones, di-Me, Me 3-mercaptopropyl, telomers with iso-Bu methacrylate",146632-09-9,,,,,,, ,24,,,3,3, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020078,Ammonium chloride,12125-02-9,NLXLAEXVIDQMFP-UHFFFAOYSA-N,Ammonium chloride,[NH4+].[Cl-],"InChI=1S/ClH.H3N/h1H;1H3
",ClH4N,53.49,53.003227,236,5177,136,584,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020232,Caffeine,58-08-2,RYYVLZVUVIJVGH-UHFFFAOYSA-N,"1,3,7-Trimethyl-3,7-dihydro-1H-purine-2,6-dione",CN1C=NC2=C1C(=O)N(C)C(=O)N2C,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3
",C8H10N4O2,194.194,194.080376,370,21207,384,29,1,65/972,7,972
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020236,Calcium lactate,814-80-2,MKJXYGKVIBWPFZ-UHFFFAOYSA-L,Calcium bis(2-hydroxypropanoate),[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O,"InChI=1/2C3H6O3.Ca/c2*1-2(4)3(5)6;/h2*2,4H,1H3,(H,5,6);/q;;+2/p-2
",C6H10CaO6,218.218,218.010329,128,137,73,2,1,5/400,1,400
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020236,Calcium lactate,814-80-2,MKJXYGKVIBWPFZ-UHFFFAOYSA-L,Calcium bis(2-hydroxypropanoate),[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O,"InChI=1/2C3H6O3.Ca/c2*1-2(4)3(5)6;/h2*2,4H,1H3,(H,5,6);/q;;+2/p-2
",C6H10CaO6,218.218,218.010329,128,137,73,2,1,5/400,1,400
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020573,17beta-Estradiol,50-28-2,VOXZDWNPVJITMN-ZBRFXRBCSA-N,"Estra-1(10),2,4-triene-3,17beta-diol",[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1
",C18H24O2,272.388,272.177630,251,81966,428,7,1,217/984,22,984
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020573,17beta-Estradiol,50-28-2,VOXZDWNPVJITMN-ZBRFXRBCSA-N,"Estra-1(10),2,4-triene-3,17beta-diol",[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1
",C18H24O2,272.388,272.177630,251,81966,428,7,1,217/984,22,984
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020600,Ethylene oxide,75-21-8,IAYPIBMASNFSPL-UHFFFAOYSA-N,Oxirane,C1CO1,"InChI=1S/C2H4O/c1-2-3-1/h1-2H2
",C2H4O,44.053,44.026215,278,2732,174,346,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020654,Geranyl acetate,105-87-3,HIGQPQRQIQDZMP-DHZHZOJOSA-N,"(2E)-3,7-Dimethylocta-2,6-dien-1-yl acetate",CC(C)=CCC\C(C)=C\COC(C)=O,"InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+
",C12H20O2,196.29,196.146330,230,1,120,75,1,10/867,1,867
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020789,Magnesium chloride hexahydrate,7791-18-6,DHRRIBDTHFBPNG-UHFFFAOYSA-L,Magnesium chloride--water (1/2/6),O.O.O.O.O.O.[Mg++].[Cl-].[Cl-],"InChI=1S/2ClH.Mg.6H2O/h2*1H;;6*1H2/q;;+2;;;;;;/p-2
",Cl2H12MgO6,203.3,201.986135,101,,46,98,1,6/235,3,235
