DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID001009528,"2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with methyl 2-methyl-2-propenoate and tetradecyl 2-methyl-2-propenoate",68171-50-6,,,,,,, ,46,,,26,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020868,Dichloromethane,75-09-2,YMWUJEATGCHHMB-UHFFFAOYSA-N,Dichloromethane,ClCCl,"InChI=1S/CH2Cl2/c2-1-3/h1H2
",CH2Cl2,84.93,83.953356,385,1755,390,3207,1,1/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021381,"1,1,1-Trichloroethane",71-55-6,UOCLXMDMGBRAIB-UHFFFAOYSA-N,"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3
",C2H3Cl3,133.4,131.930033,319,385,112,3053,1,1/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021383,Trichloroethylene,79-01-6,XSTXAVWGXDQKEL-UHFFFAOYSA-N,"1,1,2-Trichloroethene",ClC=C(Cl)Cl,"InChI=1S/C2HCl3/c3-1-2(4)5/h1H
",C2HCl3,131.38,129.914383,360,4105,181,413,1,3/235,1,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023872,Ammonia,7664-41-7,QGZKDVFQNNGYKY-UHFFFAOYSA-N,Ammonia,N,"InChI=1S/H3N/h1H3
",H3N,17.031,17.026549,301,23886,433,1201,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027983,Dipropylene glycol monomethyl ether,34590-94-8,,,"C*.C*.COCCOCCO |lp:5:2,8:2,11:2,m:1:6.7,3:9.10|",,C7H16O3,148.202,148.109944,269,18,,1461,1,24/941,3,941
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0028246,"Solvent naphtha, petroleum, light aliph.",64742-89-8,,,,,,, ,162,,,5419,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0051233,Mineral spirits,64475-85-0,,,,,,, ,107,,,3047,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1024097,2-Butoxyethanol,111-76-2,POAOYUHQDCAZBD-UHFFFAOYSA-N,2-Butoxyethan-1-ol,CCCCOCCO,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3
",C6H14O2,118.176,118.099380,410,169,163,6931,1,7/855,1,855
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026031,Sodium dodecyl sulfate,151-21-3,DBMJMQXJHONAFJ-UHFFFAOYSA-M,Sodium dodecyl sulfate,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1
",C12H25NaO4S,288.38,288.137125,345,11781,172,944,1,213/1004,21,1004
